Altium Designer Pick and Place Locations
C:\Users\A0501766\Desktop\TIDA-010042\TIDA-010042E3_4layer_v2\Project Outputs\Pick Place Output\Pick Place for TIDA-010042.csv

========================================================================================================================
File Design Information:

Date:       23/02/24
Time:       11:01
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C64","ESY107M100AH5","TopLayer","FP-ESY476M100AH1AA_RADIAL-MFG","48.2739","23.5799","0","100 µF 100 V Aluminum Electrolytic Capacitors Radial, Can 180mOhm @ 100kHz 4000 Hrs @ 105°C"
"C62","GRM32EC72A106KE05L","TopLayer","FP-GRM32EC72A106KE05L_1210-MFG","52.2008","44.4263","270","10µF ±10% 100V Ceramic Capacitor X7S 1210 (3225 Metric)"
"C2","GRM32EC72A106KE05L","TopLayer","FP-GRM32EC72A106KE05L_1210-MFG","48.4977","31.0699","0","10µF ±10% 100V Ceramic Capacitor X7S 1210 (3225 Metric)"
"U3","LMG2100R026","BottomLayer","VBN0016A-MFG","43.1398","45.6921","270","100-V, 53-A GaN Half-Bridge Power Stage"
"TP3","S2751-46R","BottomLayer","Harwin_S2751-46R","52.1352","55.4636","180","Test Point, SMT"
"TP2","S2751-46R","BottomLayer","Harwin_S2751-46R","41.7246","55.4636","180","Test Point, SMT"
"TP1","S2751-46R","BottomLayer","Harwin_S2751-46R","52.7352","41.6393","270","Test Point, SMT"
"J5","61201621621","TopLayer","Wurth_61201621621","22.7237","73.1671","90","Header(Shrouded), 2.54mm, 8x2, Gold, TH"
"C63","GRM155R62A104KE14D","BottomLayer","0402S","47.8437","44.3138","270","CAP, CERM, 0.1 uF, 100 V, +/- 10%, X5R, 0402"
"U6","TPSM365R6V5RDNR","TopLayer","RDN0011A-MFG","15.9372","19.5574","180","3-V to 65-V Input, 1-V to 13-V Output, 600-mA Synchronous Buck Converter Power Module in a HotRod QFN Package"
"J2","OSTT7020150","TopLayer","On-Shore_OSTT7020150","62.6699","31.5106","90","Terminal Block, 6.35mm, 2x1, TH"
"C61","C1005X5R1E225K050BC","BottomLayer","0402","44.7228","5.3092","90","CAP, CERM, 2.2 uF, 25 V, +/- 10%, X5R, 0402"
"C60","GRM32EC72A106KE05L","TopLayer","FP-GRM32EC72A106KE05L_1210-MFG","53.9507","31.0699","180","10µF ±10% 100V Ceramic Capacitor X7S 1210 (3225 Metric)"
"C10","C1005X5R1E225K050BC","BottomLayer","0402","44.7139","2.6529","270","CAP, CERM, 2.2 uF, 25 V, +/- 10%, X5R, 0402"
"C13","ESY107M100AH5","TopLayer","FP-ESY476M100AH1AA_RADIAL-MFG","73.5653","54.4533","180","100 µF 100 V Aluminum Electrolytic Capacitors Radial, Can 180mOhm @ 100kHz 4000 Hrs @ 105°C"
"C47","GMK107BJ104KAHT","TopLayer","0603","9.1643","12.9220","270","CAP CER 0.1UF 25V X5R 0603"
"J1","OSTT7020150","TopLayer","On-Shore_OSTT7020150","36.7610","9.9533","0","Terminal Block, 6.35mm, 2x1, TH"
"U8","MSPM0G1506SRGZ","TopLayer","RGZ0048B-MFG","20.6028","42.8971","90","Mixed-Signal Microcontrollers"
"R101","RC0402FR-0710K5L","TopLayer","0402S","37.3364","47.6171","180","RES, 10.5 k, 1%, 0.063 W, 0402"
"R100","RC0402FR-0710K5L","TopLayer","0402S","37.5284","41.6406","180","RES, 10.5 k, 1%, 0.063 W, 0402"
"Logo4","WEEE logo","TopLayer","WEEE_Minimum","-60.4290","-121.1470","0","WEEE logo"
"Logo2","CE Mark","TopLayer","CE_Mark_5mm","-60.4290","-121.1470","0","CE Mark"
"C59","GRM32EC72A106KE05L","TopLayer","FP-GRM32EC72A106KE05L_1210-MFG","57.0438","43.4292","0","10µF ±10% 100V Ceramic Capacitor X7S 1210 (3225 Metric)"
"C58","GRM32EC72A106KE05L","TopLayer","FP-GRM32EC72A106KE05L_1210-MFG","56.9949","40.6986","0","10µF ±10% 100V Ceramic Capacitor X7S 1210 (3225 Metric)"
"C57","GRM32EC72A106KE05L","TopLayer","FP-GRM32EC72A106KE05L_1210-MFG","63.3912","43.4659","180","10µF ±10% 100V Ceramic Capacitor X7S 1210 (3225 Metric)"
"C56","GRM32EC72A106KE05L","TopLayer","FP-GRM32EC72A106KE05L_1210-MFG","48.4977","36.6824","0","10µF ±10% 100V Ceramic Capacitor X7S 1210 (3225 Metric)"
"C55","GRM32EC72A106KE05L","TopLayer","FP-GRM32EC72A106KE05L_1210-MFG","43.6954","44.3989","270","10µF ±10% 100V Ceramic Capacitor X7S 1210 (3225 Metric)"
"R42","RMCF0603FT10K0","TopLayer","0603","26.8825","63.1023","90","RES, 10.0 k, 1%, 0.1 W, AEC-Q200 Grade 0, 0603"
"R41","RMCF0603FT10K0","TopLayer","0603","25.2389","63.1023","90","RES, 10.0 k, 1%, 0.1 W, AEC-Q200 Grade 0, 0603"
"R36","RC0603FR-0722RL","TopLayer","0603","25.2543","66.3611","90","RES, 22.0, 1%, 0.1 W, 0603"
"R34","RC0603FR-0722RL","TopLayer","0603","26.8825","66.3611","90","RES, 22.0, 1%, 0.1 W, 0603"
